day,fixed_veh_day,fixed_avg_ticks_day,fixed_avg_min_day,fixed_veh_morning,fixed_avg_ticks_morning,fixed_avg_min_morning,fixed_veh_evening,fixed_avg_ticks_evening,fixed_avg_min_evening,adaptive_veh_day,adaptive_avg_ticks_day,adaptive_avg_min_day,adaptive_veh_morning,adaptive_avg_ticks_morning,adaptive_avg_min_morning,adaptive_veh_evening,adaptive_avg_ticks_evening,adaptive_avg_min_evening
1,927,152.98381877022655,76.49190938511327,92,79.71739130434783,39.858695652173914,155,109.5741935483871,54.78709677419355,934,135.41220556745182,67.70610278372591,100,85.43,42.715,162,123.98148148148148,61.99074074074074
2,934,186.94432548179873,93.47216274089936,93,88.18279569892474,44.09139784946237,158,140.26582278481013,70.13291139240506,931,151.64661654135338,75.82330827067669,97,92.56701030927834,46.28350515463917,165,164.0909090909091,82.04545454545455
3,935,146.46096256684493,73.23048128342246,101,85.24752475247524,42.62376237623762,157,116.9171974522293,58.45859872611465,953,146.2843651626443,73.14218258132215,99,85.88888888888889,42.94444444444444,165,134.74545454545455,67.37272727272727
4,951,201.78969505783385,100.89484752891693,92,82.21739130434783,41.108695652173914,150,143.66666666666666,71.83333333333333,932,154.37339055793993,77.18669527896996,90,85.08888888888889,42.544444444444444,153,169.7058823529412,84.8529411764706
5,903,136.59579180509414,68.29789590254707,93,85.88172043010752,42.94086021505375,157,114.43949044585987,57.21974522292994,900,113.51333333333334,56.75666666666667,93,85.91397849462365,42.956989247311824,164,123.95121951219512,61.97560975609756
6,880,118.67840909090908,59.33920454545454,94,85.48936170212765,42.744680851063826,151,125.05298013245033,62.526490066225165,878,113.19817767653758,56.59908883826879,95,85.29473684210527,42.64736842105263,157,127.171974522293,63.58598726114649
7,907,152.42227122381476,76.21113561190738,97,86.94845360824742,43.47422680412371,157,125.03184713375796,62.51592356687898,919,133.40478781284006,66.70239390642003,100,87.54,43.77,163,127.25153374233129,63.625766871165645
8,919,174.4602829162133,87.23014145810664,90,95.08888888888889,47.544444444444444,160,120.05,60.025,908,134.33590308370043,67.16795154185021,102,97.03921568627452,48.51960784313726,164,122.4329268292683,61.21646341463415
